---,x,y
519,"20.379999","5.000000"
520,"20.400000","10.000000"
521,"20.420000","10.000000"
522,"20.440001","10.000000"
523,"20.459999","5.000000"
524,"20.480000","10.000000"
525,"20.500000","5.000000"
526,"20.520000","5.000000"
527,"20.540001","5.000000"
528,"20.559999","10.000000"
529,"20.580000","5.000000"
530,"20.600000","10.000000"
531,"20.620001","1.000000"
532,"20.639999","5.000000"
533,"20.660000","1.000000"
534,"20.680000","5.000000"
535,"20.700001","5.000000"
536,"20.719999","10.000000"
537,"20.740000","5.000000"
538,"20.760000","10.000000"
539,"20.780001","10.000000"
540,"20.799999","10.000000"
541,"20.820000","5.000000"
542,"20.840000","10.000000"
543,"20.860001","1.000000"
544,"20.879999","10.000000"
545,"20.900000","10.000000"
546,"20.920000","5.000000"
547,"20.940001","10.000000"
548,"20.959999","10.000000"
549,"20.980000","5.000000"
550,"21.000000","5.000000"
551,"21.020000","1.000000"
552,"21.040001","1.000000"
553,"21.059999","10.000000"
554,"21.080000","5.000000"
555,"21.100000","5.000000"
556,"21.120001","10.000000"
557,"21.139999","5.000000"
558,"21.160000","5.000000"
559,"21.180000","1.000000"
560,"21.200001","10.000000"
561,"21.219999","10.000000"
562,"21.240000","5.000000"
563,"21.260000","1.000000"
564,"21.280001","5.000000"
565,"21.299999","10.000000"
566,"21.320000","10.000000"
567,"21.340000","5.000000"
568,"21.360001","5.000000"
569,"21.379999","5.000000"
570,"21.400000","10.000000"
571,"21.420000","10.000000"
572,"21.440001","1.000000"
573,"21.459999","15.000000"
574,"21.480000","15.000000"
575,"21.500000","1.000000"
576,"21.520000","5.000000"
577,"21.540001","20.000000"
578,"21.559999","10.000000"
579,"21.580000","5.000000"
580,"21.600000","5.000000"
581,"21.620001","10.000000"
582,"21.639999","10.000000"
583,"21.660000","10.000000"
584,"21.680000","15.000000"
585,"21.700001","1.000000"
586,"21.719999","5.000000"
587,"21.740000","5.000000"
588,"21.760000","10.000000"
589,"21.780001","5.000000"
590,"21.799999","5.000000"
591,"21.820000","15.000000"
592,"21.840000","5.000000"
593,"21.860001","10.000000"
594,"21.879999","1.000000"
595,"21.900000","5.000000"
596,"21.920000","5.000000"
597,"21.940001","5.000000"
598,"21.959999","20.000000"
599,"21.980000","10.000000"
600,"22.000000","15.000000"
601,"22.020000","10.000000"
602,"22.040001","10.000000"
603,"22.059999","5.000000"
604,"22.080000","1.000000"
605,"22.100000","10.000000"
606,"22.120001","5.000000"
607,"22.139999","5.000000"
608,"22.160000","1.000000"
609,"22.180000","5.000000"
610,"22.200001","10.000000"
611,"22.219999","10.000000"
612,"22.240000","5.000000"
613,"22.260000","1.000000"
614,"22.280001","1.000000"
615,"22.299999","15.000000"
616,"22.320000","5.000000"
617,"22.340000","1.000000"
618,"22.360001","5.000000"
619,"22.379999","1.000000"
620,"22.400000","5.000000"
621,"22.420000","5.000000"
622,"22.440001","5.000000"
623,"22.459999","10.000000"
624,"22.480000","10.000000"
625,"22.500000","5.000000"
626,"22.520000","1.000000"
627,"22.540001","10.000000"
628,"22.559999","1.000000"
629,"22.580000","5.000000"
630,"22.600000","5.000000"
631,"22.620001","5.000000"
632,"22.639999","5.000000"
633,"22.660000","5.000000"
634,"22.680000","10.000000"
635,"22.700001","1.000000"
636,"22.719999","10.000000"
637,"22.740000","5.000000"
638,"22.760000","10.000000"
639,"22.780001","1.000000"
640,"22.799999","5.000000"
641,"22.820000","5.000000"
642,"22.840000","5.000000"
643,"22.860001","1.000000"
644,"22.879999","5.000000"
645,"22.900000","1.000000"
646,"22.920000","20.000000"
647,"22.940001","10.000000"
648,"22.959999","10.000000"
649,"22.980000","5.000000"
